"Marca","Modelo","Color"
"Avon","True Bege Claro","e19f93"
"Avon","True Avelã Escuro","bb8b77"
"Avon","True Rosado Claro","ba8e81"
"Avon","True Mel Claro","876151"
"Avon","True Mel Escuro","d29304"
"Avon","True Rosado Medio","eebdb8"
"Avon","True Amendoa","c29a94"
"Avon","True Bronze","be9222"
"Avon","True Bege Escuro","e4b7a2"
"Avon","True Castanho Claro","b58b7f"
"Avon","True Castanho Escuro","cf8888"
"Avon","True Avelã","dc9b7d"
"Avon","True Cacau","d59680"
"Avon","True Bege","c19980"
"Avon","True Rosado Escuro","dc9e85"
"Avon","True Bege Medio","bc9a91"
"Avon","True Marrom Claro","76544a"
"Avon","True Marrom Escuro","8e5728"
"Lancome","Teint Froid Beige Cendre","d99f89"
"Lancome","Teint Neutre Biege Diaphane","dba58b"
"Lancome","Teint Chaud Cookie","bb8d74"
"Lancome","Teint Neutre Carameu","ba816e"
"Lancome","Teint Neutre Biege Cuivre","cea498"
"Lancome","Teint Chaud Biege Dore","d5a28d"
"Lancome","Teint Chaud Priline","815b46"
"Lancome","Teint Froid Biege Nature","d9a484"
"Lancome","Teint Sable Biege","bf8a7c"
"Lancome","Teint Froid Acajou","b6791e"
"Lancome","Teint Suede W 540","8e563c"
"Lancome","Teint Suede C 555","7f5541"
"Lancome","Teint Suede C 560","7c4133"
"Lancome","Teint Suede C 550","8b4724"
"Lancome","Teint Suede C 530","935429"
"Lancome","Teint Suede C 510","885a3c"
"Lancome","Teint Suede W 460","ad7552"
"Lancome","Teint Suede W 435","865d43"
"Lancome","Teint Suede W 520","ac6c46"
"Lancome","Teint Suede W 400","8b5f51"
"MAC","Studio Fix NC5","d99f8b"
"MAC","Studio Fix NC10","f6dccf"
"MAC","Studio Fix NW20","e19b24"
"MAC","Studio Fix NW4","d99f8b"
"MAC","Studio Fix NW18","e5ae90"
"MAC","Studio Fix NC17","c99877"
"MAC","Studio Fix NC15","e8bdad"
"MAC","Studio Fix C40","b7b0aa"
"MAC","Studio Fix NC25","ddaf97"
"MAC","Studio Fix N3","ddb3a5"
"MAC","Studio Fix NC20","e8b8aa"
"MAC","Studio Fix NC27","d4997f"
"MAC","Studio Fix NW25","c3967f"
"MAC","Studio Fix NW20","d9a08d"
"MAC","Studio Fix NW30","debea6"
"MAC","Studio Fix NW30","c48b77"
"MAC","Studio Fix NC38","ddb699"
"MAC","Studio Fix NC35","dcb191"
"MAC","Studio Fix NC40","ad7f66"
"MAC","Studio Fix C8","b08074"
"MAC","Studio Fix C8","b08074"
"MAC","Studio Fix NW40","a97f83"
"MAC","Studio Fix NC55","7d4f40"
"MAC","Studio Fix NW48","74444b"
"MAC","Studio Fix NW48","823f2c"
"MAC","Studio Fix NW46","b2866b"
"MAC","Studio Fix NW60","9a6d67"
"MAC","Studio Fix NW58","5a382f"
"MAC","Studio Fix NW57","714137"
"MAC","Studio Fix NW55","ae7460"
"MAC","Studio Fix NC60","6d5145"
"MAC","Studio Fix NC58","a77253"
"MAC","Studio Fix NC55","784832"









